Epoch,Training Loss,Validation Loss,Validation Accuracy
1,1.012351632118225,1.4385212800068146,0.5731934731934732
2,1.4088616371154785,1.3108725318814851,0.6067599067599068
3,1.55568265914917,1.235742215158018,0.627039627039627
4,1.5930430889129639,1.1886602690364498,0.6452214452214452
5,1.499942660331726,1.1435451402167514,0.6575757575757576
6,1.2754290103912354,1.115584993381904,0.6657342657342658
7,1.1106246709823608,1.0852739914826708,0.6738927738927739
8,1.1156660318374634,1.058931315517715,0.681002331002331
9,1.058737874031067,1.0406225252747296,0.6835664335664335
10,1.0150789022445679,1.0209120030066603,0.6891608391608391
11,1.0271797180175781,1.0041899840081463,0.6945221445221446
12,1.0040277242660522,0.9869884373881951,0.7011655011655011
13,1.0552690029144287,0.9727357197334743,0.7046620046620047
14,1.0624796152114868,0.9601174230060401,0.7088578088578089
15,1.0412006378173828,0.9484424697232038,0.7149184149184149
16,1.0652223825454712,0.9391181230188403,0.7175990675990676
17,1.0055184364318848,0.9288481660834855,0.7235431235431236
18,1.0103248357772827,0.9203567944005613,0.7275058275058275
19,0.9839283227920532,0.9126872519007287,0.7286713286713287
20,0.9863353371620178,0.9064173915023461,0.7294871794871794
21,0.9520559906959534,0.9008301332314952,0.7341491841491842
22,0.9379004240036011,0.896240792387246,0.7341491841491842
23,0.9282224178314209,0.8918565903996939,0.734965034965035
24,0.9266304969787598,0.8880302685486329,0.737995337995338
25,0.9277659058570862,0.8844671200506203,0.7378787878787879
26,0.9267236590385437,0.8814495906117643,0.7395104895104895
27,0.9313437938690186,0.8787049136717346,0.7412587412587412
28,0.9259467124938965,0.8764609037919783,0.742074592074592
29,0.9175264835357666,0.8744782849770589,0.7432400932400932
30,0.9300642609596252,0.8727258724157507,0.7434731934731935
31,0.9240137934684753,0.8713387879828618,0.7425407925407925
32,0.9405252933502197,0.8700874048346379,0.7424242424242424
33,0.9354302287101746,0.8689634537586176,0.7433566433566433
34,0.9539387822151184,0.8679578385103492,0.7440559440559441
35,0.9587846398353577,0.8670987956515689,0.7437062937062937
36,0.961922287940979,0.8665325124095691,0.7435897435897436
37,0.9730753302574158,0.8659160722844494,0.7439393939393939
38,0.9764603972434998,0.8654589603877152,0.7442890442890443
39,0.981999397277832,0.8649798964316868,0.7447552447552448
40,0.9887135624885559,0.8645877267877975,0.7451048951048951
41,0.990951657295227,0.8642733847834756,0.7448717948717949
42,0.9972739219665527,0.863949261830972,0.744988344988345
43,0.9984204173088074,0.8636871137340132,0.7455710955710956
44,1.0031442642211914,0.8634918444963348,0.745920745920746
45,1.0049395561218262,0.8633036957452636,0.7456876456876457
46,1.0069609880447388,0.8631461046718192,0.7462703962703963
47,1.0076854228973389,0.8629816042105879,0.7460372960372961
48,1.008973479270935,0.8628625356042454,0.7461538461538462
49,1.0101878643035889,0.8627630412068553,0.7463869463869464
50,1.0119867324829102,0.862647606714277,0.7462703962703963
