Epoch,Training Loss,Validation Loss,Validation Accuracy
1,1.0829261541366577,1.5975374447383284,0.5327777777777778
2,0.7078040242195129,1.4147121057857293,0.5855555555555556
3,0.6818578839302063,1.3369988075269308,0.6061111111111112
4,0.8341506123542786,1.267954130672022,0.6283333333333333
5,0.9143233895301819,1.2196148295016933,0.6416666666666667
6,0.8592037558555603,1.18824670937268,0.6511111111111111
7,0.8745543956756592,1.1641324385365845,0.6577777777777778
8,0.9160556197166443,1.1341999798034603,0.6616666666666666
9,0.8684489727020264,1.1106188927453735,0.6722222222222223
10,0.9185824394226074,1.0906881152981078,0.6744444444444444
11,0.8595783710479736,1.0710649183838783,0.6833333333333333
12,0.8113988637924194,1.0554389191928526,0.6822222222222222
13,0.7461512684822083,1.0390274639569623,0.6866666666666666
14,0.7235845923423767,1.0248754939151048,0.6933333333333334
15,0.7719528675079346,1.0132475698667824,0.6961111111111111
16,0.7352787256240845,1.0027994248430412,0.6988888888888889
17,0.6800985336303711,0.9930607569381957,0.7016666666666667
18,0.6694642305374146,0.9852013885985879,0.7005555555555556
19,0.663622260093689,0.9772113851379254,0.7033333333333334
20,0.6718340516090393,0.9701808559481611,0.7055555555555556
21,0.6261922717094421,0.9638839265382072,0.7077777777777777
22,0.6200951337814331,0.9585318628485806,0.7088888888888889
23,0.6272391080856323,0.95387195596258,0.7105555555555556
24,0.6254017353057861,0.9495994540803885,0.7105555555555556
25,0.6066480278968811,0.945716278343332,0.7116666666666667
26,0.5960087776184082,0.9422938444177917,0.7116666666666667
27,0.578477680683136,0.9395971341894215,0.7138888888888889
28,0.5645614862442017,0.9369546969724211,0.7155555555555555
29,0.538507342338562,0.9351201978230448,0.7166666666666667
30,0.5281625390052795,0.9331229497036353,0.7172222222222222
31,0.5117433667182922,0.9311598881427199,0.7188888888888889
32,0.502987802028656,0.9297805213797902,0.7188888888888889
33,0.49268683791160583,0.9284418759281269,0.7177777777777777
34,0.4813622832298279,0.9273297055339208,0.7183333333333334
35,0.4807121157646179,0.9260939341915785,0.7194444444444444
36,0.4736209809780121,0.9251539264990263,0.7188888888888889
37,0.47212308645248413,0.9243845451365471,0.7194444444444444
38,0.468303382396698,0.9237623025070125,0.72
39,0.4653102457523346,0.9231461171308183,0.7188888888888889
40,0.4685145914554596,0.9225880217020879,0.7194444444444444
41,0.46597474813461304,0.9221380980936293,0.7205555555555555
42,0.46897172927856445,0.9217957333569777,0.7194444444444444
43,0.4695869982242584,0.9213909024081335,0.7188888888888889
44,0.46933168172836304,0.9211055767425569,0.7172222222222222
45,0.4727795124053955,0.9208397935736058,0.7161111111111111
46,0.47451987862586975,0.9205353398501757,0.7177777777777777
47,0.4781685471534729,0.9203124287931456,0.7177777777777777
48,0.4795980751514435,0.9200932515344014,0.7177777777777777
49,0.48126649856567383,0.919920670401706,0.7183333333333334
50,0.4832977056503296,0.9198055521836633,0.7183333333333334
