Epoch,Training Loss,Validation Loss,Validation Accuracy
1,4.2243757247924805,2.2421150358019317,0.3711111111111111
2,1.3985331058502197,1.582560235740384,0.5322222222222223
3,1.200377345085144,1.4148333149193462,0.5794444444444444
4,1.1110018491744995,1.3246071926597507,0.6105555555555555
5,1.1242481470108032,1.260725256915838,0.6305555555555555
6,1.078486442565918,1.2241732083689487,0.6366666666666667
7,1.0954068899154663,1.1823880811004266,0.6477777777777778
8,1.078679084777832,1.1522747735943024,0.6527777777777778
9,1.0915138721466064,1.1220790617656895,0.6588888888888889
10,1.0165144205093384,1.0939062119719003,0.6672222222222223
11,0.9658953547477722,1.0778405520343868,0.6711111111111111
12,0.9585157036781311,1.0583145039395379,0.6788888888888889
13,0.8923866748809814,1.04199737685739,0.6816666666666666
14,0.9152788519859314,1.028266063519857,0.6888888888888889
15,0.8976843953132629,1.0157238069241996,0.6977777777777778
16,0.8891733288764954,1.006665750010353,0.7011111111111111
17,0.8659610152244568,0.9967528238062773,0.7038888888888889
18,0.8349928855895996,0.9894316643627179,0.7038888888888889
19,0.813823938369751,0.9821103088597819,0.7061111111111111
20,0.8000990748405457,0.9763298366595214,0.7072222222222222
21,0.8169758915901184,0.9707696210898898,0.7094444444444444
22,0.8001748919487,0.9660279622997364,0.7088888888888889
23,0.7788183093070984,0.9615542372184831,0.71
24,0.7683225274085999,0.9575151460542111,0.7077777777777777
25,0.7584869861602783,0.9540999622651402,0.7094444444444444
26,0.7428864240646362,0.9505013716004194,0.7088888888888889
27,0.7419519424438477,0.9474974959548046,0.7072222222222222
28,0.7362222075462341,0.9449213485384825,0.7111111111111111
29,0.729429304599762,0.9426018724512283,0.71
30,0.7227283120155334,0.9404095069611341,0.7144444444444444
31,0.7185791730880737,0.9386984883302486,0.715
32,0.7100987434387207,0.937089522721815,0.7166666666666667
33,0.701101541519165,0.9355893818654456,0.7166666666666667
34,0.6937019228935242,0.9344744268988466,0.7166666666666667
35,0.6876562833786011,0.9332941875069325,0.7155555555555555
36,0.6804157495498657,0.932388482508573,0.7172222222222222
37,0.6813247203826904,0.9316530128704229,0.7183333333333334
38,0.6788643598556519,0.9309749666815494,0.7183333333333334
39,0.6847819685935974,0.9303136066568549,0.7183333333333334
40,0.6862009167671204,0.9298346695301977,0.7183333333333334
41,0.6912046074867249,0.9293159742938587,0.7177777777777777
42,0.6962708234786987,0.9288964808308648,0.7183333333333334
43,0.7013216018676758,0.9285572939873802,0.7177777777777777
44,0.7040889263153076,0.9282163699552055,0.7194444444444444
45,0.7084935903549194,0.9279409313498117,0.72
46,0.7113360166549683,0.9276960310033368,0.72
47,0.7146828770637512,0.927465773504292,0.7194444444444444
48,0.7169094085693359,0.9272675660976933,0.72
49,0.720211923122406,0.9271101255656685,0.7216666666666667
50,0.7228513360023499,0.9269539261362256,0.7211111111111111
