Epoch,Training Loss,Validation Loss,Validation Accuracy
1,2.474254608154297,2.3126389857009055,0.3527777777777778
2,1.979933500289917,1.5278518972996002,0.5477777777777778
3,1.1025201082229614,1.3913867994516882,0.5916666666666667
4,1.026806354522705,1.2984976020516155,0.62
5,0.9099030494689941,1.251057057726171,0.635
6,0.7885844707489014,1.2159710370865005,0.6455555555555555
7,0.8649613857269287,1.182013964616021,0.6555555555555556
8,0.7717843055725098,1.1531663142881976,0.6611111111111111
9,0.9094810485839844,1.1288639852772597,0.6688888888888889
10,1.015388011932373,1.109748471597203,0.67
11,1.1359925270080566,1.092693073279483,0.6766666666666666
12,1.1524735689163208,1.077832091518309,0.685
13,1.1310957670211792,1.0640583109360564,0.685
14,1.1650258302688599,1.0528595299349723,0.6922222222222222
15,1.2230405807495117,1.0417645097342514,0.6933333333333334
16,1.2241209745407104,1.0331959215048119,0.695
17,1.2402904033660889,1.0248133794064052,0.6955555555555556
18,1.186944603919983,1.0165757599445189,0.6938888888888889
19,1.1849874258041382,1.0100098156766035,0.695
20,1.1670176982879639,1.0038335490072172,0.6966666666666667
21,1.1078914403915405,0.9979637221224968,0.6983333333333334
22,1.0810258388519287,0.9930701989369441,0.6988888888888889
23,1.0673296451568604,0.9884543865846677,0.7005555555555556
24,1.0312103033065796,0.9845830715549204,0.7022222222222222
25,0.9995306134223938,0.9807534992925099,0.7055555555555556
26,0.9846723675727844,0.9771411106884221,0.705
27,0.9690415263175964,0.9740218263078066,0.7044444444444444
28,0.9431015253067017,0.9714447052787162,0.7027777777777777
29,0.9224250912666321,0.9690449275334443,0.7033333333333334
30,0.9004773497581482,0.9669001786525283,0.7027777777777777
31,0.8828888535499573,0.9650646020122804,0.7022222222222222
32,0.8840409517288208,0.9634750034466075,0.7016666666666667
33,0.868898868560791,0.9622105132533599,0.6994444444444444
34,0.8584230542182922,0.9609808631760016,0.6994444444444444
35,0.8459237217903137,0.9600103358590665,0.7005555555555556
36,0.8355121612548828,0.9591847652206585,0.7022222222222222
37,0.8295788764953613,0.9584521887279375,0.7033333333333334
38,0.8243276476860046,0.9577870384757665,0.7038888888888889
39,0.8241481184959412,0.9571996927912632,0.7038888888888889
40,0.8225713968276978,0.9567448757477622,0.7033333333333334
41,0.8238371014595032,0.9563230998481675,0.7038888888888889
42,0.826611340045929,0.9559163893991435,0.7038888888888889
43,0.8260208368301392,0.9555851896473259,0.7033333333333334
44,0.8273035287857056,0.9552801695464102,0.7033333333333334
45,0.8303773999214172,0.9550036026653187,0.7033333333333334
46,0.8314836025238037,0.9546972583245305,0.7038888888888889
47,0.8336860537528992,0.9544568792737684,0.7038888888888889
48,0.8360187411308289,0.9542691002652282,0.7038888888888889
49,0.8384492993354797,0.9540937416775462,0.7038888888888889
50,0.8403645753860474,0.9539387519210706,0.7033333333333334
