Epoch,Training Loss,Validation Loss,Validation Accuracy
1,1.987224817276001,1.83872547098255,0.4982517482517482
2,1.5639605522155762,1.3993191302127557,0.5864801864801865
3,1.5544018745422363,1.2692799674525093,0.6314685314685314
4,1.5464180707931519,1.2064781747141577,0.6466200466200466
5,1.4115561246871948,1.167123216578299,0.6562937062937063
6,1.5511091947555542,1.1414737967647681,0.6625874125874126
7,1.42684805393219,1.1137378121152144,0.6700466200466201
8,1.469956636428833,1.089956201551845,0.6765734265734266
9,1.562126636505127,1.062967823694689,0.6821678321678322
10,1.5685876607894897,1.0408146795638162,0.6875291375291376
11,1.5067256689071655,1.0210564329227063,0.6907925407925408
12,1.4616236686706543,1.0031793530674116,0.6987179487179487
13,1.4843158721923828,0.9875228699955314,0.7038461538461539
14,1.3792625665664673,0.9730883302197383,0.7090909090909091
15,1.3307369947433472,0.9600878595546773,0.7131701631701631
16,1.2447930574417114,0.9493848205409593,0.7164335664335665
17,1.2214860916137695,0.9386065979561666,0.720979020979021
18,1.1942031383514404,0.9296112424851665,0.7244755244755244
19,1.1876802444458008,0.921269153535635,0.7287878787878788
20,1.1884549856185913,0.9141116423890229,0.7312354312354312
21,1.1542481184005737,0.9077051759312296,0.7328671328671329
22,1.1060824394226074,0.9019866400976727,0.7346153846153847
23,1.0777678489685059,0.8967049579291294,0.7357808857808857
24,1.0305020809173584,0.8922880301252957,0.7372960372960373
25,1.027245283126831,0.888648546639532,0.7376456876456876
26,0.9965232610702515,0.885360127124753,0.7392773892773893
27,0.9930049180984497,0.8825812016790032,0.7388111888111888
28,0.9693559408187866,0.8801391130828327,0.7392773892773893
29,0.9374157190322876,0.8781522207859782,0.7395104895104895
30,0.9330804347991943,0.8762073770075758,0.7405594405594406
31,0.9123231172561646,0.8747072706093044,0.7404428904428905
32,0.9233262538909912,0.8732602300149246,0.7404428904428905
33,0.9123066663742065,0.8720845077706622,0.7405594405594406
34,0.9197268486022949,0.8711352625237897,0.7413752913752913
35,0.9103895425796509,0.8702355302566889,0.7416083916083916
36,0.9084935188293457,0.8693997094849595,0.7413752913752913
37,0.9093694686889648,0.8688359367226859,0.7412587412587412
38,0.917431652545929,0.868202016337982,0.7425407925407925
39,0.916092038154602,0.8676639850129534,0.7427738927738927
40,0.9176672697067261,0.8672271014944924,0.7433566433566433
41,0.9245479702949524,0.8668665022089141,0.7437062937062937
42,0.9238396883010864,0.8664737380461551,0.7440559440559441
43,0.9268703460693359,0.8662013203571312,0.7434731934731935
44,0.9276280403137207,0.8659683350743514,0.7433566433566433
45,0.930442214012146,0.8657188946924076,0.7431235431235431
46,0.9329948425292969,0.8655267461335193,0.7433566433566433
47,0.9326989054679871,0.8653609890574486,0.7431235431235431
48,0.9341045022010803,0.8652323320792393,0.7427738927738927
49,0.9332400560379028,0.8651007193950437,0.7427738927738927
50,0.933238685131073,0.8650053140366073,0.7433566433566433
