Epoch,Training Loss,Validation Loss,Validation Accuracy
1,1.671823501586914,1.5867392659957922,0.5316666666666666
2,1.2818493843078613,1.4133926948102695,0.5761111111111111
3,1.3019795417785645,1.3227680791148062,0.5994444444444444
4,1.2897881269454956,1.2609119207373198,0.6266666666666667
5,1.374443531036377,1.215155793688868,0.6411111111111111
6,1.2865842580795288,1.1810610697631232,0.6477777777777778
7,1.230880618095398,1.1496956496145059,0.6544444444444445
8,1.166029930114746,1.1256318413265722,0.6638888888888889
9,1.1864290237426758,1.1047204830804063,0.6672222222222223
10,1.1793216466903687,1.0853304275190587,0.6727777777777778
11,1.1233255863189697,1.070388515173561,0.6777777777777778
12,1.0801301002502441,1.0570561652177195,0.6811111111111111
13,1.0231517553329468,1.0448920104100317,0.685
14,0.9943089485168457,1.0347542626970163,0.6844444444444444
15,0.9486680626869202,1.0235597700285466,0.6894444444444444
16,0.9080507755279541,1.0141100529098184,0.6933333333333334
17,0.890272855758667,1.0063956616038277,0.695
18,0.8950512409210205,0.9999609806548364,0.6972222222222222
19,0.8521931767463684,0.9938402208056586,0.7
20,0.8059808015823364,0.9885186787728647,0.7033333333333334
21,0.7987077236175537,0.9832022231018184,0.7083333333333334
22,0.7607128620147705,0.978349482099034,0.71
23,0.7392417192459106,0.9738964286927108,0.7111111111111111
24,0.7334260940551758,0.9695729271570195,0.7133333333333334
25,0.705781877040863,0.9660310917502243,0.7127777777777777
26,0.6959139108657837,0.9625416120724468,0.7116666666666667
27,0.6774365305900574,0.9595816882730772,0.7138888888888889
28,0.660926103591919,0.956933202675686,0.7111111111111111
29,0.6565889716148376,0.9548292906347584,0.7111111111111111
30,0.6370531320571899,0.9527840737342033,0.7105555555555556
31,0.6214884519577026,0.9513156582627885,0.7133333333333334
32,0.6140073537826538,0.9495987228542152,0.715
33,0.6047868728637695,0.9483158705762536,0.7133333333333334
34,0.5979260206222534,0.9473050161533886,0.7111111111111111
35,0.5898610949516296,0.9464604306085838,0.7105555555555556
36,0.5874062776565552,0.9458655584297635,0.7083333333333334
37,0.5806316137313843,0.9452513297333563,0.7066666666666667
38,0.5760481953620911,0.9448362721449101,0.7066666666666667
39,0.5738235712051392,0.944411121137479,0.7061111111111111
40,0.5750128030776978,0.9441052674705861,0.7066666666666667
41,0.5754586458206177,0.9437696513986319,0.7072222222222222
42,0.5754899978637695,0.943476754306143,0.7072222222222222
43,0.5770370364189148,0.9432745511586674,0.7072222222222222
44,0.5788354873657227,0.9430464475199631,0.7088888888888889
45,0.5814269185066223,0.942844621101459,0.7055555555555556
46,0.5826905965805054,0.9427001975118441,0.7061111111111111
47,0.5858959555625916,0.9425296633085882,0.7077777777777777
48,0.587727427482605,0.9424075327180456,0.7072222222222222
49,0.5894716382026672,0.9422658582224459,0.7077777777777777
50,0.5916939973831177,0.9421912625203064,0.7077777777777777
