Epoch,Training Loss,Validation Loss,Validation Accuracy
1,2.780640125274658,2.278356798100803,0.38166666666666665
2,2.008716106414795,1.5651904838542556,0.5333333333333333
3,1.5801963806152344,1.3939594830656037,0.5788888888888889
4,1.6770185232162476,1.3188122494078318,0.6077777777777778
5,1.383773922920227,1.2584972382987487,0.6238888888888889
6,1.371523380279541,1.2161918581606328,0.6377777777777778
7,1.389596939086914,1.1833532132406253,0.6483333333333333
8,1.2459262609481812,1.1554369706213603,0.6505555555555556
9,1.2524579763412476,1.1306364646158829,0.6616666666666666
10,1.095318078994751,1.1072008347054039,0.6638888888888889
11,1.0685663223266602,1.0858458568276061,0.6677777777777778
12,1.0428513288497925,1.067979614514366,0.6683333333333333
13,1.0561323165893555,1.0547422665095008,0.6727777777777778
14,1.009554386138916,1.0413286797829722,0.6733333333333333
15,1.0029898881912231,1.0289720450627566,0.6833333333333333
16,0.9181432723999023,1.0170082167272145,0.6861111111111111
17,0.914929986000061,1.007249948419113,0.69
18,0.8767794370651245,0.9995919155114098,0.6944444444444444
19,0.8266380429267883,0.99296134036002,0.6977777777777778
20,0.8205969333648682,0.985750131566763,0.7011111111111111
21,0.7847669124603271,0.9799358017767857,0.7005555555555556
22,0.7721620798110962,0.9745780623383082,0.7044444444444444
23,0.756011426448822,0.9701492021325976,0.705
24,0.7391953468322754,0.9665364544765584,0.7055555555555556
25,0.7208418846130371,0.9627888449562791,0.7072222222222222
26,0.715354323387146,0.9600145361970256,0.7094444444444444
27,0.6907793283462524,0.9574041919778877,0.7083333333333334
28,0.6813082098960876,0.9551756517202011,0.7094444444444444
29,0.6693602800369263,0.9529376309126383,0.7083333333333334
30,0.6632575988769531,0.9509785120313367,0.7088888888888889
31,0.652834951877594,0.9491272634406211,0.7122222222222222
32,0.6567371487617493,0.9478005671763418,0.7105555555555556
33,0.6434305310249329,0.9465927938829474,0.7088888888888889
34,0.6439982652664185,0.9455245035936565,0.7088888888888889
35,0.632914662361145,0.9443782631580446,0.7083333333333334
36,0.6263003349304199,0.9435775635708059,0.7083333333333334
37,0.6248674392700195,0.9428940837333276,0.7061111111111111
38,0.6183745861053467,0.9421683235178352,0.7066666666666667
39,0.614992082118988,0.9417028213083136,0.7061111111111111
40,0.6112615466117859,0.9412231799140378,0.7061111111111111
41,0.6119863986968994,0.9408336529140231,0.7061111111111111
42,0.6127092838287354,0.9405116432739952,0.7072222222222222
43,0.6109049916267395,0.9402560683308143,0.7077777777777777
44,0.6122720241546631,0.9400032396459331,0.7061111111111111
45,0.6167851090431213,0.9398100863805868,0.7055555555555556
46,0.61534583568573,0.9396826420065029,0.7066666666666667
47,0.6161836981773376,0.9395019065816046,0.7061111111111111
48,0.6184898614883423,0.9393758652481806,0.7061111111111111
49,0.6193768382072449,0.9392751882903718,0.7066666666666667
50,0.6205248832702637,0.9391858332793345,0.7066666666666667
